,train_img_path,train_anno_path
11,/content/drive/My Drive/Colab Notebooks/MaskRCNN_brain_mri/kaggle_3m/TCGA_CS_4942_19970222/TCGA_CS_4942_19970222_13.tif,/content/drive/My Drive/Colab Notebooks/MaskRCNN_brain_mri/kaggle_3m/TCGA_CS_4942_19970222/TCGA_CS_4942_19970222_13_mask.tif
12,/content/drive/My Drive/Colab Notebooks/MaskRCNN_brain_mri/kaggle_3m/TCGA_CS_4942_19970222/TCGA_CS_4942_19970222_14.tif,/content/drive/My Drive/Colab Notebooks/MaskRCNN_brain_mri/kaggle_3m/TCGA_CS_4942_19970222/TCGA_CS_4942_19970222_14_mask.tif
13,/content/drive/My Drive/Colab Notebooks/MaskRCNN_brain_mri/kaggle_3m/TCGA_CS_4942_19970222/TCGA_CS_4942_19970222_9.tif,/content/drive/My Drive/Colab Notebooks/MaskRCNN_brain_mri/kaggle_3m/TCGA_CS_4942_19970222/TCGA_CS_4942_19970222_9_mask.tif
14,/content/drive/My Drive/Colab Notebooks/MaskRCNN_brain_mri/kaggle_3m/TCGA_CS_4943_20000902/TCGA_CS_4943_20000902_12.tif,/content/drive/My Drive/Colab Notebooks/MaskRCNN_brain_mri/kaggle_3m/TCGA_CS_4943_20000902/TCGA_CS_4943_20000902_12_mask.tif
15,/content/drive/My Drive/Colab Notebooks/MaskRCNN_brain_mri/kaggle_3m/TCGA_CS_4943_20000902/TCGA_CS_4943_20000902_13.tif,/content/drive/My Drive/Colab Notebooks/MaskRCNN_brain_mri/kaggle_3m/TCGA_CS_4943_20000902/TCGA_CS_4943_20000902_13_mask.tif
16,/content/drive/My Drive/Colab Notebooks/MaskRCNN_brain_mri/kaggle_3m/TCGA_CS_4943_20000902/TCGA_CS_4943_20000902_14.tif,/content/drive/My Drive/Colab Notebooks/MaskRCNN_brain_mri/kaggle_3m/TCGA_CS_4943_20000902/TCGA_CS_4943_20000902_14_mask.tif
17,/content/drive/My Drive/Colab Notebooks/MaskRCNN_brain_mri/kaggle_3m/TCGA_CS_4943_20000902/TCGA_CS_4943_20000902_15.tif,/content/drive/My Drive/Colab Notebooks/MaskRCNN_brain_mri/kaggle_3m/TCGA_CS_4943_20000902/TCGA_CS_4943_20000902_15_mask.tif
18,/content/drive/My Drive/Colab Notebooks/MaskRCNN_brain_mri/kaggle_3m/TCGA_CS_4943_20000902/TCGA_CS_4943_20000902_16.tif,/content/drive/My Drive/Colab Notebooks/MaskRCNN_brain_mri/kaggle_3m/TCGA_CS_4943_20000902/TCGA_CS_4943_20000902_16_mask.tif
19,/content/drive/My Drive/Colab Notebooks/MaskRCNN_brain_mri/kaggle_3m/TCGA_CS_4943_20000902/TCGA_CS_4943_20000902_17.tif,/content/drive/My Drive/Colab Notebooks/MaskRCNN_brain_mri/kaggle_3m/TCGA_CS_4943_20000902/TCGA_CS_4943_20000902_17_mask.tif
20,/content/drive/My Drive/Colab Notebooks/MaskRCNN_brain_mri/kaggle_3m/TCGA_CS_4943_20000902/TCGA_CS_4943_20000902_18.tif,/content/drive/My Drive/Colab Notebooks/MaskRCNN_brain_mri/kaggle_3m/TCGA_CS_4943_20000902/TCGA_CS_4943_20000902_18_mask.tif
21,/content/drive/My Drive/Colab Notebooks/MaskRCNN_brain_mri/kaggle_3m/TCGA_CS_4943_20000902/TCGA_CS_4943_20000902_19.tif,/content/drive/My Drive/Colab Notebooks/MaskRCNN_brain_mri/kaggle_3m/TCGA_CS_4943_20000902/TCGA_CS_4943_20000902_19_mask.tif
22,/content/drive/My Drive/Colab Notebooks/MaskRCNN_brain_mri/kaggle_3m/TCGA_CS_4944_20010208/TCGA_CS_4944_20010208_10.tif,/content/drive/My Drive/Colab Notebooks/MaskRCNN_brain_mri/kaggle_3m/TCGA_CS_4944_20010208/TCGA_CS_4944_20010208_10_mask.tif
23,/content/drive/My Drive/Colab Notebooks/MaskRCNN_brain_mri/kaggle_3m/TCGA_CS_4944_20010208/TCGA_CS_4944_20010208_11.tif,/content/drive/My Drive/Colab Notebooks/MaskRCNN_brain_mri/kaggle_3m/TCGA_CS_4944_20010208/TCGA_CS_4944_20010208_11_mask.tif
24,/content/drive/My Drive/Colab Notebooks/MaskRCNN_brain_mri/kaggle_3m/TCGA_CS_4944_20010208/TCGA_CS_4944_20010208_12.tif,/content/drive/My Drive/Colab Notebooks/MaskRCNN_brain_mri/kaggle_3m/TCGA_CS_4944_20010208/TCGA_CS_4944_20010208_12_mask.tif
25,/content/drive/My Drive/Colab Notebooks/MaskRCNN_brain_mri/kaggle_3m/TCGA_CS_4944_20010208/TCGA_CS_4944_20010208_13.tif,/content/drive/My Drive/Colab Notebooks/MaskRCNN_brain_mri/kaggle_3m/TCGA_CS_4944_20010208/TCGA_CS_4944_20010208_13_mask.tif
26,/content/drive/My Drive/Colab Notebooks/MaskRCNN_brain_mri/kaggle_3m/TCGA_CS_4944_20010208/TCGA_CS_4944_20010208_14.tif,/content/drive/My Drive/Colab Notebooks/MaskRCNN_brain_mri/kaggle_3m/TCGA_CS_4944_20010208/TCGA_CS_4944_20010208_14_mask.tif
27,/content/drive/My Drive/Colab Notebooks/MaskRCNN_brain_mri/kaggle_3m/TCGA_CS_4944_20010208/TCGA_CS_4944_20010208_6.tif,/content/drive/My Drive/Colab Notebooks/MaskRCNN_brain_mri/kaggle_3m/TCGA_CS_4944_20010208/TCGA_CS_4944_20010208_6_mask.tif
28,/content/drive/My Drive/Colab Notebooks/MaskRCNN_brain_mri/kaggle_3m/TCGA_CS_4944_20010208/TCGA_CS_4944_20010208_7.tif,/content/drive/My Drive/Colab Notebooks/MaskRCNN_brain_mri/kaggle_3m/TCGA_CS_4944_20010208/TCGA_CS_4944_20010208_7_mask.tif
29,/content/drive/My Drive/Colab Notebooks/MaskRCNN_brain_mri/kaggle_3m/TCGA_CS_4944_20010208/TCGA_CS_4944_20010208_8.tif,/content/drive/My Drive/Colab Notebooks/MaskRCNN_brain_mri/kaggle_3m/TCGA_CS_4944_20010208/TCGA_CS_4944_20010208_8_mask.tif
30,/content/drive/My Drive/Colab Notebooks/MaskRCNN_brain_mri/kaggle_3m/TCGA_CS_4944_20010208/TCGA_CS_4944_20010208_9.tif,/content/drive/My Drive/Colab Notebooks/MaskRCNN_brain_mri/kaggle_3m/TCGA_CS_4944_20010208/TCGA_CS_4944_20010208_9_mask.tif
31,/content/drive/My Drive/Colab Notebooks/MaskRCNN_brain_mri/kaggle_3m/TCGA_CS_5393_19990606/TCGA_CS_5393_19990606_10.tif,/content/drive/My Drive/Colab Notebooks/MaskRCNN_brain_mri/kaggle_3m/TCGA_CS_5393_19990606/TCGA_CS_5393_19990606_10_mask.tif
32,/content/drive/My Drive/Colab Notebooks/MaskRCNN_brain_mri/kaggle_3m/TCGA_CS_5393_19990606/TCGA_CS_5393_19990606_11.tif,/content/drive/My Drive/Colab Notebooks/MaskRCNN_brain_mri/kaggle_3m/TCGA_CS_5393_19990606/TCGA_CS_5393_19990606_11_mask.tif
33,/content/drive/My Drive/Colab Notebooks/MaskRCNN_brain_mri/kaggle_3m/TCGA_CS_5393_19990606/TCGA_CS_5393_19990606_12.tif,/content/drive/My Drive/Colab Notebooks/MaskRCNN_brain_mri/kaggle_3m/TCGA_CS_5393_19990606/TCGA_CS_5393_19990606_12_mask.tif
34,/content/drive/My Drive/Colab Notebooks/MaskRCNN_brain_mri/kaggle_3m/TCGA_CS_5393_19990606/TCGA_CS_5393_19990606_5.tif,/content/drive/My Drive/Colab Notebooks/MaskRCNN_brain_mri/kaggle_3m/TCGA_CS_5393_19990606/TCGA_CS_5393_19990606_5_mask.tif
35,/content/drive/My Drive/Colab Notebooks/MaskRCNN_brain_mri/kaggle_3m/TCGA_CS_5393_19990606/TCGA_CS_5393_19990606_6.tif,/content/drive/My Drive/Colab Notebooks/MaskRCNN_brain_mri/kaggle_3m/TCGA_CS_5393_19990606/TCGA_CS_5393_19990606_6_mask.tif
36,/content/drive/My Drive/Colab Notebooks/MaskRCNN_brain_mri/kaggle_3m/TCGA_CS_5393_19990606/TCGA_CS_5393_19990606_7.tif,/content/drive/My Drive/Colab Notebooks/MaskRCNN_brain_mri/kaggle_3m/TCGA_CS_5393_19990606/TCGA_CS_5393_19990606_7_mask.tif
37,/content/drive/My Drive/Colab Notebooks/MaskRCNN_brain_mri/kaggle_3m/TCGA_CS_5393_19990606/TCGA_CS_5393_19990606_8.tif,/content/drive/My Drive/Colab Notebooks/MaskRCNN_brain_mri/kaggle_3m/TCGA_CS_5393_19990606/TCGA_CS_5393_19990606_8_mask.tif
38,/content/drive/My Drive/Colab Notebooks/MaskRCNN_brain_mri/kaggle_3m/TCGA_CS_5393_19990606/TCGA_CS_5393_19990606_9.tif,/content/drive/My Drive/Colab Notebooks/MaskRCNN_brain_mri/kaggle_3m/TCGA_CS_5393_19990606/TCGA_CS_5393_19990606_9_mask.tif
39,/content/drive/My Drive/Colab Notebooks/MaskRCNN_brain_mri/kaggle_3m/TCGA_CS_5395_19981004/TCGA_CS_5395_19981004_12.tif,/content/drive/My Drive/Colab Notebooks/MaskRCNN_brain_mri/kaggle_3m/TCGA_CS_5395_19981004/TCGA_CS_5395_19981004_12_mask.tif
40,/content/drive/My Drive/Colab Notebooks/MaskRCNN_brain_mri/kaggle_3m/TCGA_CS_5395_19981004/TCGA_CS_5395_19981004_13.tif,/content/drive/My Drive/Colab Notebooks/MaskRCNN_brain_mri/kaggle_3m/TCGA_CS_5395_19981004/TCGA_CS_5395_19981004_13_mask.tif
41,/content/drive/My Drive/Colab Notebooks/MaskRCNN_brain_mri/kaggle_3m/TCGA_CS_5395_19981004/TCGA_CS_5395_19981004_14.tif,/content/drive/My Drive/Colab Notebooks/MaskRCNN_brain_mri/kaggle_3m/TCGA_CS_5395_19981004/TCGA_CS_5395_19981004_14_mask.tif
42,/content/drive/My Drive/Colab Notebooks/MaskRCNN_brain_mri/kaggle_3m/TCGA_CS_5396_20010302/TCGA_CS_5396_20010302_12.tif,/content/drive/My Drive/Colab Notebooks/MaskRCNN_brain_mri/kaggle_3m/TCGA_CS_5396_20010302/TCGA_CS_5396_20010302_12_mask.tif
43,/content/drive/My Drive/Colab Notebooks/MaskRCNN_brain_mri/kaggle_3m/TCGA_CS_5396_20010302/TCGA_CS_5396_20010302_13.tif,/content/drive/My Drive/Colab Notebooks/MaskRCNN_brain_mri/kaggle_3m/TCGA_CS_5396_20010302/TCGA_CS_5396_20010302_13_mask.tif
44,/content/drive/My Drive/Colab Notebooks/MaskRCNN_brain_mri/kaggle_3m/TCGA_CS_5396_20010302/TCGA_CS_5396_20010302_14.tif,/content/drive/My Drive/Colab Notebooks/MaskRCNN_brain_mri/kaggle_3m/TCGA_CS_5396_20010302/TCGA_CS_5396_20010302_14_mask.tif
45,/content/drive/My Drive/Colab Notebooks/MaskRCNN_brain_mri/kaggle_3m/TCGA_CS_5396_20010302/TCGA_CS_5396_20010302_15.tif,/content/drive/My Drive/Colab Notebooks/MaskRCNN_brain_mri/kaggle_3m/TCGA_CS_5396_20010302/TCGA_CS_5396_20010302_15_mask.tif
46,/content/drive/My Drive/Colab Notebooks/MaskRCNN_brain_mri/kaggle_3m/TCGA_CS_5396_20010302/TCGA_CS_5396_20010302_16.tif,/content/drive/My Drive/Colab Notebooks/MaskRCNN_brain_mri/kaggle_3m/TCGA_CS_5396_20010302/TCGA_CS_5396_20010302_16_mask.tif
47,/content/drive/My Drive/Colab Notebooks/MaskRCNN_brain_mri/kaggle_3m/TCGA_CS_5396_20010302/TCGA_CS_5396_20010302_17.tif,/content/drive/My Drive/Colab Notebooks/MaskRCNN_brain_mri/kaggle_3m/TCGA_CS_5396_20010302/TCGA_CS_5396_20010302_17_mask.tif
48,/content/drive/My Drive/Colab Notebooks/MaskRCNN_brain_mri/kaggle_3m/TCGA_CS_5396_20010302/TCGA_CS_5396_20010302_18.tif,/content/drive/My Drive/Colab Notebooks/MaskRCNN_brain_mri/kaggle_3m/TCGA_CS_5396_20010302/TCGA_CS_5396_20010302_18_mask.tif
49,/content/drive/My Drive/Colab Notebooks/MaskRCNN_brain_mri/kaggle_3m/TCGA_CS_5396_20010302/TCGA_CS_5396_20010302_19.tif,/content/drive/My Drive/Colab Notebooks/MaskRCNN_brain_mri/kaggle_3m/TCGA_CS_5396_20010302/TCGA_CS_5396_20010302_19_mask.tif
50,/content/drive/My Drive/Colab Notebooks/MaskRCNN_brain_mri/kaggle_3m/TCGA_CS_5396_20010302/TCGA_CS_5396_20010302_20.tif,/content/drive/My Drive/Colab Notebooks/MaskRCNN_brain_mri/kaggle_3m/TCGA_CS_5396_20010302/TCGA_CS_5396_20010302_20_mask.tif
51,/content/drive/My Drive/Colab Notebooks/MaskRCNN_brain_mri/kaggle_3m/TCGA_CS_5396_20010302/TCGA_CS_5396_20010302_21.tif,/content/drive/My Drive/Colab Notebooks/MaskRCNN_brain_mri/kaggle_3m/TCGA_CS_5396_20010302/TCGA_CS_5396_20010302_21_mask.tif
52,/content/drive/My Drive/Colab Notebooks/MaskRCNN_brain_mri/kaggle_3m/TCGA_CS_5396_20010302/TCGA_CS_5396_20010302_22.tif,/content/drive/My Drive/Colab Notebooks/MaskRCNN_brain_mri/kaggle_3m/TCGA_CS_5396_20010302/TCGA_CS_5396_20010302_22_mask.tif
53,/content/drive/My Drive/Colab Notebooks/MaskRCNN_brain_mri/kaggle_3m/TCGA_CS_5397_20010315/TCGA_CS_5397_20010315_10.tif,/content/drive/My Drive/Colab Notebooks/MaskRCNN_brain_mri/kaggle_3m/TCGA_CS_5397_20010315/TCGA_CS_5397_20010315_10_mask.tif
54,/content/drive/My Drive/Colab Notebooks/MaskRCNN_brain_mri/kaggle_3m/TCGA_CS_5397_20010315/TCGA_CS_5397_20010315_11.tif,/content/drive/My Drive/Colab Notebooks/MaskRCNN_brain_mri/kaggle_3m/TCGA_CS_5397_20010315/TCGA_CS_5397_20010315_11_mask.tif
55,/content/drive/My Drive/Colab Notebooks/MaskRCNN_brain_mri/kaggle_3m/TCGA_CS_5397_20010315/TCGA_CS_5397_20010315_12.tif,/content/drive/My Drive/Colab Notebooks/MaskRCNN_brain_mri/kaggle_3m/TCGA_CS_5397_20010315/TCGA_CS_5397_20010315_12_mask.tif
56,/content/drive/My Drive/Colab Notebooks/MaskRCNN_brain_mri/kaggle_3m/TCGA_CS_5397_20010315/TCGA_CS_5397_20010315_7.tif,/content/drive/My Drive/Colab Notebooks/MaskRCNN_brain_mri/kaggle_3m/TCGA_CS_5397_20010315/TCGA_CS_5397_20010315_7_mask.tif
57,/content/drive/My Drive/Colab Notebooks/MaskRCNN_brain_mri/kaggle_3m/TCGA_CS_5397_20010315/TCGA_CS_5397_20010315_8.tif,/content/drive/My Drive/Colab Notebooks/MaskRCNN_brain_mri/kaggle_3m/TCGA_CS_5397_20010315/TCGA_CS_5397_20010315_8_mask.tif
58,/content/drive/My Drive/Colab Notebooks/MaskRCNN_brain_mri/kaggle_3m/TCGA_CS_5397_20010315/TCGA_CS_5397_20010315_9.tif,/content/drive/My Drive/Colab Notebooks/MaskRCNN_brain_mri/kaggle_3m/TCGA_CS_5397_20010315/TCGA_CS_5397_20010315_9_mask.tif
59,/content/drive/My Drive/Colab Notebooks/MaskRCNN_brain_mri/kaggle_3m/TCGA_CS_6186_20000601/TCGA_CS_6186_20000601_15.tif,/content/drive/My Drive/Colab Notebooks/MaskRCNN_brain_mri/kaggle_3m/TCGA_CS_6186_20000601/TCGA_CS_6186_20000601_15_mask.tif
60,/content/drive/My Drive/Colab Notebooks/MaskRCNN_brain_mri/kaggle_3m/TCGA_CS_6186_20000601/TCGA_CS_6186_20000601_16.tif,/content/drive/My Drive/Colab Notebooks/MaskRCNN_brain_mri/kaggle_3m/TCGA_CS_6186_20000601/TCGA_CS_6186_20000601_16_mask.tif
61,/content/drive/My Drive/Colab Notebooks/MaskRCNN_brain_mri/kaggle_3m/TCGA_CS_6186_20000601/TCGA_CS_6186_20000601_17.tif,/content/drive/My Drive/Colab Notebooks/MaskRCNN_brain_mri/kaggle_3m/TCGA_CS_6186_20000601/TCGA_CS_6186_20000601_17_mask.tif
62,/content/drive/My Drive/Colab Notebooks/MaskRCNN_brain_mri/kaggle_3m/TCGA_CS_6186_20000601/TCGA_CS_6186_20000601_18.tif,/content/drive/My Drive/Colab Notebooks/MaskRCNN_brain_mri/kaggle_3m/TCGA_CS_6186_20000601/TCGA_CS_6186_20000601_18_mask.tif
63,/content/drive/My Drive/Colab Notebooks/MaskRCNN_brain_mri/kaggle_3m/TCGA_CS_6186_20000601/TCGA_CS_6186_20000601_19.tif,/content/drive/My Drive/Colab Notebooks/MaskRCNN_brain_mri/kaggle_3m/TCGA_CS_6186_20000601/TCGA_CS_6186_20000601_19_mask.tif
64,/content/drive/My Drive/Colab Notebooks/MaskRCNN_brain_mri/kaggle_3m/TCGA_CS_6186_20000601/TCGA_CS_6186_20000601_20.tif,/content/drive/My Drive/Colab Notebooks/MaskRCNN_brain_mri/kaggle_3m/TCGA_CS_6186_20000601/TCGA_CS_6186_20000601_20_mask.tif
65,/content/drive/My Drive/Colab Notebooks/MaskRCNN_brain_mri/kaggle_3m/TCGA_CS_6188_20010812/TCGA_CS_6188_20010812_14.tif,/content/drive/My Drive/Colab Notebooks/MaskRCNN_brain_mri/kaggle_3m/TCGA_CS_6188_20010812/TCGA_CS_6188_20010812_14_mask.tif
66,/content/drive/My Drive/Colab Notebooks/MaskRCNN_brain_mri/kaggle_3m/TCGA_CS_6188_20010812/TCGA_CS_6188_20010812_15.tif,/content/drive/My Drive/Colab Notebooks/MaskRCNN_brain_mri/kaggle_3m/TCGA_CS_6188_20010812/TCGA_CS_6188_20010812_15_mask.tif
67,/content/drive/My Drive/Colab Notebooks/MaskRCNN_brain_mri/kaggle_3m/TCGA_CS_6188_20010812/TCGA_CS_6188_20010812_16.tif,/content/drive/My Drive/Colab Notebooks/MaskRCNN_brain_mri/kaggle_3m/TCGA_CS_6188_20010812/TCGA_CS_6188_20010812_16_mask.tif
68,/content/drive/My Drive/Colab Notebooks/MaskRCNN_brain_mri/kaggle_3m/TCGA_CS_6188_20010812/TCGA_CS_6188_20010812_17.tif,/content/drive/My Drive/Colab Notebooks/MaskRCNN_brain_mri/kaggle_3m/TCGA_CS_6188_20010812/TCGA_CS_6188_20010812_17_mask.tif
69,/content/drive/My Drive/Colab Notebooks/MaskRCNN_brain_mri/kaggle_3m/TCGA_CS_6290_20000917/TCGA_CS_6290_20000917_10.tif,/content/drive/My Drive/Colab Notebooks/MaskRCNN_brain_mri/kaggle_3m/TCGA_CS_6290_20000917/TCGA_CS_6290_20000917_10_mask.tif
70,/content/drive/My Drive/Colab Notebooks/MaskRCNN_brain_mri/kaggle_3m/TCGA_CS_6290_20000917/TCGA_CS_6290_20000917_11.tif,/content/drive/My Drive/Colab Notebooks/MaskRCNN_brain_mri/kaggle_3m/TCGA_CS_6290_20000917/TCGA_CS_6290_20000917_11_mask.tif
71,/content/drive/My Drive/Colab Notebooks/MaskRCNN_brain_mri/kaggle_3m/TCGA_CS_6290_20000917/TCGA_CS_6290_20000917_7.tif,/content/drive/My Drive/Colab Notebooks/MaskRCNN_brain_mri/kaggle_3m/TCGA_CS_6290_20000917/TCGA_CS_6290_20000917_7_mask.tif
72,/content/drive/My Drive/Colab Notebooks/MaskRCNN_brain_mri/kaggle_3m/TCGA_CS_6290_20000917/TCGA_CS_6290_20000917_8.tif,/content/drive/My Drive/Colab Notebooks/MaskRCNN_brain_mri/kaggle_3m/TCGA_CS_6290_20000917/TCGA_CS_6290_20000917_8_mask.tif
73,/content/drive/My Drive/Colab Notebooks/MaskRCNN_brain_mri/kaggle_3m/TCGA_CS_6290_20000917/TCGA_CS_6290_20000917_9.tif,/content/drive/My Drive/Colab Notebooks/MaskRCNN_brain_mri/kaggle_3m/TCGA_CS_6290_20000917/TCGA_CS_6290_20000917_9_mask.tif
74,/content/drive/My Drive/Colab Notebooks/MaskRCNN_brain_mri/kaggle_3m/TCGA_CS_6665_20010817/TCGA_CS_6665_20010817_10.tif,/content/drive/My Drive/Colab Notebooks/MaskRCNN_brain_mri/kaggle_3m/TCGA_CS_6665_20010817/TCGA_CS_6665_20010817_10_mask.tif
75,/content/drive/My Drive/Colab Notebooks/MaskRCNN_brain_mri/kaggle_3m/TCGA_CS_6665_20010817/TCGA_CS_6665_20010817_11.tif,/content/drive/My Drive/Colab Notebooks/MaskRCNN_brain_mri/kaggle_3m/TCGA_CS_6665_20010817/TCGA_CS_6665_20010817_11_mask.tif
76,/content/drive/My Drive/Colab Notebooks/MaskRCNN_brain_mri/kaggle_3m/TCGA_CS_6665_20010817/TCGA_CS_6665_20010817_12.tif,/content/drive/My Drive/Colab Notebooks/MaskRCNN_brain_mri/kaggle_3m/TCGA_CS_6665_20010817/TCGA_CS_6665_20010817_12_mask.tif
77,/content/drive/My Drive/Colab Notebooks/MaskRCNN_brain_mri/kaggle_3m/TCGA_CS_6665_20010817/TCGA_CS_6665_20010817_13.tif,/content/drive/My Drive/Colab Notebooks/MaskRCNN_brain_mri/kaggle_3m/TCGA_CS_6665_20010817/TCGA_CS_6665_20010817_13_mask.tif
78,/content/drive/My Drive/Colab Notebooks/MaskRCNN_brain_mri/kaggle_3m/TCGA_CS_6665_20010817/TCGA_CS_6665_20010817_14.tif,/content/drive/My Drive/Colab Notebooks/MaskRCNN_brain_mri/kaggle_3m/TCGA_CS_6665_20010817/TCGA_CS_6665_20010817_14_mask.tif
79,/content/drive/My Drive/Colab Notebooks/MaskRCNN_brain_mri/kaggle_3m/TCGA_CS_6665_20010817/TCGA_CS_6665_20010817_15.tif,/content/drive/My Drive/Colab Notebooks/MaskRCNN_brain_mri/kaggle_3m/TCGA_CS_6665_20010817/TCGA_CS_6665_20010817_15_mask.tif
80,/content/drive/My Drive/Colab Notebooks/MaskRCNN_brain_mri/kaggle_3m/TCGA_CS_6665_20010817/TCGA_CS_6665_20010817_16.tif,/content/drive/My Drive/Colab Notebooks/MaskRCNN_brain_mri/kaggle_3m/TCGA_CS_6665_20010817/TCGA_CS_6665_20010817_16_mask.tif
81,/content/drive/My Drive/Colab Notebooks/MaskRCNN_brain_mri/kaggle_3m/TCGA_CS_6665_20010817/TCGA_CS_6665_20010817_17.tif,/content/drive/My Drive/Colab Notebooks/MaskRCNN_brain_mri/kaggle_3m/TCGA_CS_6665_20010817/TCGA_CS_6665_20010817_17_mask.tif
82,/content/drive/My Drive/Colab Notebooks/MaskRCNN_brain_mri/kaggle_3m/TCGA_CS_6665_20010817/TCGA_CS_6665_20010817_18.tif,/content/drive/My Drive/Colab Notebooks/MaskRCNN_brain_mri/kaggle_3m/TCGA_CS_6665_20010817/TCGA_CS_6665_20010817_18_mask.tif
83,/content/drive/My Drive/Colab Notebooks/MaskRCNN_brain_mri/kaggle_3m/TCGA_CS_6665_20010817/TCGA_CS_6665_20010817_19.tif,/content/drive/My Drive/Colab Notebooks/MaskRCNN_brain_mri/kaggle_3m/TCGA_CS_6665_20010817/TCGA_CS_6665_20010817_19_mask.tif
84,/content/drive/My Drive/Colab Notebooks/MaskRCNN_brain_mri/kaggle_3m/TCGA_CS_6665_20010817/TCGA_CS_6665_20010817_20.tif,/content/drive/My Drive/Colab Notebooks/MaskRCNN_brain_mri/kaggle_3m/TCGA_CS_6665_20010817/TCGA_CS_6665_20010817_20_mask.tif
85,/content/drive/My Drive/Colab Notebooks/MaskRCNN_brain_mri/kaggle_3m/TCGA_CS_6666_20011109/TCGA_CS_6666_20011109_13.tif,/content/drive/My Drive/Colab Notebooks/MaskRCNN_brain_mri/kaggle_3m/TCGA_CS_6666_20011109/TCGA_CS_6666_20011109_13_mask.tif
86,/content/drive/My Drive/Colab Notebooks/MaskRCNN_brain_mri/kaggle_3m/TCGA_CS_6666_20011109/TCGA_CS_6666_20011109_14.tif,/content/drive/My Drive/Colab Notebooks/MaskRCNN_brain_mri/kaggle_3m/TCGA_CS_6666_20011109/TCGA_CS_6666_20011109_14_mask.tif
